model,backend,run,words,num_predict,seconds
llama3.2:3b,CPU,3,56,128,6.946800230998633
llama3.2:3b,GPU,4,56,128,0.6711168490001
llama3.2:3b,CPU,4,56,128,3.3930858160001662
llama3.2:3b,GPU,5,56,128,0.7760101200001372
llama3.2:3b,CPU,5,56,128,3.1983399239998107
llama3.2:3b,GPU,1,58,128,0.7484731509994162
llama3.2:3b,CPU,1,58,128,3.6934068680002383
llama3.2:3b,GPU,2,58,128,0.8097658660008165
llama3.2:3b,CPU,2,58,128,3.6099263229989447
llama3.2:3b,GPU,3,58,128,0.7559019419986726
llama3.2:3b,CPU,3,58,128,2.6854951019995497
llama3.2:3b,GPU,4,58,128,0.7993293660001655
llama3.2:3b,CPU,4,58,128,3.440167091999683
llama3.2:3b,GPU,5,58,128,0.7397749600004317
llama3.2:3b,CPU,5,58,128,3.5001217869994434
llama3.2:3b,GPU,1,60,128,0.7583163590006734
llama3.2:3b,CPU,1,60,128,3.530762546000915
llama3.2:3b,GPU,2,60,128,0.803640281999833
llama3.2:3b,CPU,2,60,128,3.3877578970004834
llama3.2:3b,GPU,3,60,128,0.7980065799984004
llama3.2:3b,CPU,3,60,128,3.3041177970007993
llama3.2:3b,GPU,4,60,128,0.7479785790001188
llama3.2:3b,CPU,4,60,128,3.513413966000371
llama3.2:3b,GPU,5,60,128,0.8017925429994648
llama3.2:3b,CPU,5,60,128,3.659165674000178
llama3.2:3b,GPU,1,62,128,0.8429060809994553
llama3.2:3b,CPU,1,62,128,3.6689466040006664
llama3.2:3b,GPU,2,62,128,0.8508850979997078
llama3.2:3b,CPU,2,62,128,3.424062131000028
llama3.2:3b,GPU,3,62,128,0.9378645659999165
llama3.2:3b,CPU,3,62,128,3.4322263509984623
llama3.2:3b,GPU,4,62,128,0.8027752480011259
llama3.2:3b,CPU,4,62,128,2.752842251000402
llama3.2:3b,GPU,5,62,128,0.8201316710001265
llama3.2:3b,CPU,5,62,128,3.3933773720000318
llama3.2:3b,GPU,1,64,128,0.6605300999999599
llama3.2:3b,CPU,1,64,128,2.9618626540013793
llama3.2:3b,GPU,2,64,128,0.6385322570004064
llama3.2:3b,CPU,2,64,128,3.3654933430007077
llama3.2:3b,GPU,3,64,128,0.7386247960002947
llama3.2:3b,CPU,3,64,128,2.7253381529990293
llama3.2:3b,GPU,4,64,128,0.8212179160000233
llama3.2:3b,CPU,4,64,128,3.2544344649995764
llama3.2:3b,GPU,5,64,128,0.8156120160001592
llama3.2:3b,CPU,5,64,128,3.7878674139992654
llama3.2:3b,GPU,1,66,128,0.7571605690009164
llama3.2:3b,CPU,1,66,128,3.6793643220007652
llama3.2:3b,GPU,2,66,128,0.8431983459995536
llama3.2:3b,CPU,2,66,128,3.593971480999244
llama3.2:3b,GPU,3,66,128,0.8099593110000569
llama3.2:3b,CPU,3,66,128,3.4117719249989023
llama3.2:3b,GPU,4,66,128,0.7557861449986376
llama3.2:3b,CPU,4,66,128,3.4512668600000325
llama3.2:3b,GPU,5,66,128,0.8739139549998072
llama3.2:3b,CPU,5,66,128,3.360144168000261
llama3.2:3b,GPU,1,68,128,0.8048766209994938
llama3.2:3b,CPU,1,68,128,3.553227104999678
llama3.2:3b,GPU,2,68,128,0.7592205890014156
llama3.2:3b,CPU,2,68,128,3.4940761329999077
llama3.2:3b,GPU,3,68,128,0.8074224190004315
llama3.2:3b,CPU,3,68,128,3.4863702900001954
llama3.2:3b,GPU,4,68,128,0.8014677470000606
llama3.2:3b,CPU,4,68,128,3.620039668998288
llama3.2:3b,GPU,5,68,128,0.9033717389993399
llama3.2:3b,CPU,5,68,128,3.1280366600003617
llama3.2:3b,GPU,1,70,128,0.9553370640005596
llama3.2:3b,CPU,1,70,128,3.756278894999923
llama3.2:3b,GPU,2,70,128,0.7472270380003465
llama3.2:3b,CPU,2,70,128,3.9929387400006817
llama3.2:3b,GPU,3,70,128,0.8115851980001025
llama3.2:3b,CPU,3,70,128,2.1497191119997296
llama3.2:3b,GPU,4,70,128,0.8828730269997322
llama3.2:3b,CPU,4,70,128,2.1508014039991394
llama3.2:3b,GPU,5,70,128,0.8061485220005125
llama3.2:3b,CPU,5,70,128,3.8426165569999284
llama3.2:3b,GPU,1,72,128,0.7852626889998646
llama3.2:3b,CPU,1,72,128,3.9100863210005627
llama3.2:3b,GPU,2,72,128,0.7660718189999898
llama3.2:3b,CPU,2,72,128,3.5068054549992667
llama3.2:3b,GPU,3,72,128,0.8181599990002724
llama3.2:3b,CPU,3,72,128,3.9265135709993046
llama3.2:3b,GPU,4,72,128,0.8352508320003835
llama3.2:3b,CPU,4,72,128,3.635008305000156
llama3.2:3b,GPU,5,72,128,0.8143118309999409
llama3.2:3b,CPU,5,72,128,4.200897423999777
llama3.2:3b,GPU,1,74,128,0.6599082990014722
llama3.2:3b,CPU,1,74,128,3.477099638001164
llama3.2:3b,GPU,2,74,128,0.8831559649988776
llama3.2:3b,CPU,2,74,128,3.1720455619997665
llama3.2:3b,GPU,3,74,128,0.7498817809992033
llama3.2:3b,CPU,3,74,128,7.0740807370002585
llama3.2:3b,GPU,4,74,128,1.660169404998669
llama3.2:3b,CPU,4,74,128,3.6756139699991763
llama3.2:3b,GPU,5,74,128,0.6371398259998386
llama3.2:3b,CPU,5,74,128,3.021952246001092
llama3.2:3b,GPU,1,76,128,0.774890584001696
llama3.2:3b,CPU,1,76,128,3.408871566000016
llama3.2:3b,GPU,2,76,128,1.016209887999139
llama3.2:3b,CPU,2,76,128,3.727051948000735
llama3.2:3b,GPU,3,76,128,0.8096095609998883
llama3.2:3b,CPU,3,76,128,3.9681309219995455
llama3.2:3b,GPU,4,76,128,0.6976393579989235
llama3.2:3b,CPU,4,76,128,7.177134474999548
llama3.2:3b,GPU,5,76,128,0.8161852560006082
llama3.2:3b,CPU,5,76,128,3.4092711089997465
llama3.2:3b,GPU,1,78,128,0.7563382939988514
llama3.2:3b,CPU,1,78,128,3.4883660600007715
llama3.2:3b,GPU,2,78,128,0.8060480970016215
llama3.2:3b,CPU,2,78,128,3.156349726001281
llama3.2:3b,GPU,3,78,128,0.8056919660011772
llama3.2:3b,CPU,3,78,128,3.255987336999169
llama3.2:3b,GPU,4,78,128,1.696660282999801
llama3.2:3b,CPU,4,78,128,7.108693680000215
llama3.2:3b,GPU,5,78,128,0.7705541270006506
llama3.2:3b,CPU,5,78,128,3.5264392499993846
llama3.2:3b,GPU,1,80,128,0.5119159030000446
llama3.2:3b,CPU,1,80,128,3.466009222000139
llama3.2:3b,GPU,2,80,128,0.7238374119988293
llama3.2:3b,CPU,2,80,128,3.1616910379998444
llama3.2:3b,GPU,3,80,128,0.5094674069987377
llama3.2:3b,CPU,3,80,128,3.316174923998915
llama3.2:3b,GPU,4,80,128,0.8947649199999432
