model,run,words,model_size,CPU,GPU,speedup
llama3.2:3b,1,78,3b,3.4883660600007715,0.7563382939988514,4.612176968532641
llama3.2:3b,1,80,3b,3.466009222000139,0.5119159030000446,6.770661356070113
llama3.2:3b,1,82,3b,4.215431988999626,0.8390292010008125,5.0241779236901
llama3.2:3b,1,84,3b,3.669907337000041,0.8395990540011553,4.371023668393737
llama3.2:3b,1,86,3b,3.9909993629989913,0.8239232100004301,4.843897240128613
llama3.2:3b,1,88,3b,3.909296178999284,0.8356585849996918,4.678102097162953
llama3.2:3b,1,90,3b,3.022702082000251,0.8243466059993807,3.6667853788707436
llama3.2:3b,1,92,3b,3.697371969999949,0.7452475270001742,4.961267010013286
llama3.2:3b,1,94,3b,3.9912027020000096,0.848140918998979,4.7058249550212
llama3.2:3b,1,96,3b,4.031279726999856,0.8520815789997869,4.731095972913721
llama3.2:3b,1,98,3b,3.5551211399997555,0.8499910190002993,4.182539651043658
llama3.2:3b,2,10,3b,1.6239121529997649,0.6533958519994485,2.4853419990813403
llama3.2:3b,2,12,3b,0.9894432370001596,0.7690051030003815,1.2866536686683974
llama3.2:3b,2,14,3b,1.3259795970006962,0.3820088840002427,3.4710700523913833
llama3.2:3b,2,16,3b,3.0005220689999987,0.7052924349991372,4.254294984751494
llama3.2:3b,2,18,3b,3.041056458001549,0.4309738749998359,7.056243160917136
llama3.2:3b,2,20,3b,2.8849937630002387,0.6994243720000668,4.124811600073843
llama3.2:3b,2,22,3b,3.2712717429985787,0.6575072220002767,4.975263591853295
llama3.2:3b,2,24,3b,2.9398669879992667,1.220709982999324,2.4083255064203852
llama3.2:3b,2,26,3b,3.256734790998962,0.6672865399996226,4.880564189112527
llama3.2:3b,2,28,3b,2.748944135000784,0.5914094449999538,4.648123492517098
llama3.2:3b,2,30,3b,3.3694850279989623,0.7969046560010611,4.228216013829484
llama3.2:3b,2,32,3b,2.674422281999796,0.7496413200005918,3.567602546238626
llama3.2:3b,2,34,3b,3.5350998989997606,0.7360320879997744,4.802915466099685
llama3.2:3b,2,36,3b,3.509387763000632,0.6663753590000852,5.2663828510504445
llama3.2:3b,2,38,3b,6.674784676000854,0.7468737210001564,8.93696549807977
llama3.2:3b,2,40,3b,3.240055444999598,0.787760339999295,4.112996403198589
llama3.2:3b,2,42,3b,3.536452447999181,0.8434076679986902,4.193052283234249
llama3.2:3b,2,44,3b,6.839585916999567,0.7196576100013772,9.503944406266307
llama3.2:3b,2,46,3b,3.984192253999936,0.8316278589991271,4.790835481142916
llama3.2:3b,2,48,3b,2.7153043079997587,0.727383376999569,3.7329754760141673
llama3.2:3b,2,50,3b,3.2980267470011317,0.5779547530000855,5.706375334542225
llama3.2:3b,2,52,3b,2.713719482999295,0.7965578780003852,3.406807663256809
llama3.2:3b,2,54,3b,3.873353242001031,0.6811084310011211,5.686837903779605
