backend,model_size,words,mean_sec,median_sec,min_sec,max_sec,std_sec,count,machine,test_name
CPU,8b,66,10.684150848677382,11.326359460595995,3.1686033899895847,14.57610351825133,4.1107908570899205,10,Machine_B,Test9
CPU,8b,68,11.239115940965712,11.43090936774388,7.7269447348080575,14.58459037495777,3.290186821223407,10,Machine_B,Test9
CPU,8b,70,9.569837980763987,11.658007917460054,2.0704987021163106,14.622760868165642,5.624943337199874,10,Machine_B,Test9
CPU,8b,72,10.177767025772482,8.395681776572019,6.659439417999238,14.652606880292296,3.178060619063339,10,Machine_B,Test9
CPU,8b,74,10.384648347645998,9.088461189065129,3.167639081832021,14.650636522099376,3.8398713068873858,10,Machine_B,Test9
CPU,8b,76,9.399122751923278,8.185949499486014,3.604611130896956,14.383822133764625,3.7200758844980206,10,Machine_B,Test9
CPU,8b,78,9.647231938270853,8.274951707106084,3.914181128144264,14.648354306351392,3.6046404258905778,10,Machine_B,Test9
CPU,8b,80,9.683013010770082,8.39017210691236,3.17522379104048,14.426265717018396,4.453873231873938,10,Machine_B,Test9
CPU,8b,82,10.64112162492238,9.156720844563097,7.302459547296166,14.732036777306348,3.3851050655055475,10,Machine_B,Test9
CPU,8b,84,9.090425941115246,8.407036575954407,2.952402631752193,14.458168603945524,4.266136304502096,10,Machine_B,Test9
CPU,8b,86,10.906937743490563,10.532595013501123,7.959430552087724,14.467876900918782,2.7679336968229014,10,Machine_B,Test9
