model,backend,run,words,num_predict,seconds
llama3.2:3b,CPU,2,78,128,2.353930894000314
llama3.2:3b,GPU,3,78,128,0.588912616000016
llama3.2:3b,CPU,3,78,128,2.0427826220002316
llama3.2:3b,GPU,4,78,128,0.5706118539997078
llama3.2:3b,CPU,4,78,128,2.4213320610001574
llama3.2:3b,GPU,5,78,128,1.0373003849999805
llama3.2:3b,CPU,5,78,128,1.673373784999967
llama3.2:3b,GPU,1,80,128,0.47635112199986906
llama3.2:3b,CPU,1,80,128,3.3477744719998555
llama3.2:3b,GPU,2,80,128,0.5555897740000546
llama3.2:3b,CPU,2,80,128,2.435300608000034
llama3.2:3b,GPU,3,80,128,0.5276418680000461
llama3.2:3b,CPU,3,80,128,2.5490306040001087
llama3.2:3b,GPU,4,80,128,0.5122399090000727
llama3.2:3b,CPU,4,80,128,2.2011658870001156
llama3.2:3b,GPU,5,80,128,0.5452045150000231
llama3.2:3b,CPU,5,80,128,2.4503243320000365
llama3.2:3b,GPU,1,82,128,0.5438476180001999
llama3.2:3b,CPU,1,82,128,4.993550934999803
llama3.2:3b,GPU,2,82,128,0.5106667830000333
llama3.2:3b,CPU,2,82,128,2.2418797439995615
llama3.2:3b,GPU,3,82,128,0.6379687670000749
llama3.2:3b,CPU,3,82,128,2.0598617330001616
llama3.2:3b,GPU,4,82,128,0.5555522019999444
llama3.2:3b,CPU,4,82,128,2.40950826199969
llama3.2:3b,GPU,5,82,128,0.579330599000059
llama3.2:3b,CPU,5,82,128,2.3586351750000176
llama3.2:3b,GPU,1,84,128,0.5455745549998028
llama3.2:3b,CPU,1,84,128,4.930832788999851
llama3.2:3b,GPU,2,84,128,0.46806512400007705
llama3.2:3b,CPU,2,84,128,2.176063645999875
llama3.2:3b,GPU,3,84,128,0.44602556900008494
llama3.2:3b,CPU,3,84,128,3.483441051000227
llama3.2:3b,GPU,4,84,128,0.5614198630000828
llama3.2:3b,CPU,4,84,128,2.340071252999678
llama3.2:3b,GPU,5,84,128,1.0548372020002716
llama3.2:3b,CPU,5,84,128,2.3614187200000742
llama3.2:3b,GPU,1,86,128,0.6066965320001145
llama3.2:3b,CPU,1,86,128,2.295322332000069
llama3.2:3b,GPU,2,86,128,0.7886189230002856
llama3.2:3b,CPU,2,86,128,2.3256019380000907
llama3.2:3b,GPU,3,86,128,0.8039358599999105
llama3.2:3b,CPU,3,86,128,2.212395221999941
llama3.2:3b,GPU,4,86,128,0.5082061879998037
llama3.2:3b,CPU,4,86,128,2.559285997000188
llama3.2:3b,GPU,5,86,128,0.7596326029997726
llama3.2:3b,CPU,5,86,128,3.7525887329998113
llama3.2:3b,GPU,1,88,128,0.7692299400000593
llama3.2:3b,CPU,1,88,128,2.333638071999758
llama3.2:3b,GPU,2,88,128,0.4784074720000717
llama3.2:3b,CPU,2,88,128,1.8761957339997934
llama3.2:3b,GPU,3,88,128,0.819717368000056
llama3.2:3b,CPU,3,88,128,3.9100694509997993
llama3.2:3b,GPU,4,88,128,0.5142718440001772
llama3.2:3b,CPU,4,88,128,3.492708883999967
llama3.2:3b,GPU,5,88,128,0.4064353969997683
llama3.2:3b,CPU,5,88,128,4.1044482170000265
llama3.2:3b,GPU,1,90,128,0.6110231980001117
llama3.2:3b,CPU,1,90,128,1.9230092719999448
llama3.2:3b,GPU,2,90,128,0.6225445850000142
llama3.2:3b,CPU,2,90,128,2.637066500000401
llama3.2:3b,GPU,3,90,128,0.5129013710002255
llama3.2:3b,CPU,3,90,128,1.8786728810000568
llama3.2:3b,GPU,4,90,128,0.5051727990003201
llama3.2:3b,CPU,4,90,128,2.250225763999879
llama3.2:3b,GPU,5,90,128,0.532152221999695
llama3.2:3b,CPU,5,90,128,1.8760934820002149
llama3.2:3b,GPU,1,92,128,0.5620735799998329
llama3.2:3b,CPU,1,92,128,2.5140221020001263
llama3.2:3b,GPU,2,92,128,0.5194103949997952
llama3.2:3b,CPU,2,92,128,3.802447060000304
llama3.2:3b,GPU,3,92,128,0.49519118500029435
llama3.2:3b,CPU,3,92,128,2.927946147000057
llama3.2:3b,GPU,4,92,128,0.5287925360003101
llama3.2:3b,CPU,4,92,128,2.3362285129996962
llama3.2:3b,GPU,5,92,128,0.5795476900002541
llama3.2:3b,CPU,5,92,128,2.2146055339999293
llama3.2:3b,GPU,1,94,128,0.5609385630000361
llama3.2:3b,CPU,1,94,128,2.453414628000246
llama3.2:3b,GPU,2,94,128,0.7008222800000112
llama3.2:3b,CPU,2,94,128,3.7680159900000945
llama3.2:3b,GPU,3,94,128,0.553396193000026
llama3.2:3b,CPU,3,94,128,2.029420170999856
llama3.2:3b,GPU,4,94,128,0.5568093300003056
llama3.2:3b,CPU,4,94,128,4.8004333250000855
llama3.2:3b,GPU,5,94,128,0.5619027570000981
llama3.2:3b,CPU,5,94,128,2.2534090070003003
llama3.2:3b,GPU,1,96,128,0.37984490999997433
llama3.2:3b,CPU,1,96,128,2.7670750239999506
llama3.2:3b,GPU,2,96,128,0.3731901710002603
llama3.2:3b,CPU,2,96,128,2.719045726999866
llama3.2:3b,GPU,3,96,128,0.5643134479996661
llama3.2:3b,CPU,3,96,128,1.9854067819996999
llama3.2:3b,GPU,4,96,128,0.6058782240002074
llama3.2:3b,CPU,4,96,128,2.109247687000334
llama3.2:3b,GPU,5,96,128,0.9047942249999323
llama3.2:3b,CPU,5,96,128,2.531530845999896
llama3.2:3b,GPU,1,98,128,0.4991457870000886
llama3.2:3b,CPU,1,98,128,2.3873880020000797
llama3.2:3b,GPU,2,98,128,0.5766063949999989
llama3.2:3b,CPU,2,98,128,2.493925751000006
llama3.2:3b,GPU,3,98,128,0.5181600699997944
llama3.2:3b,CPU,3,98,128,3.6037744199998087
llama3.2:3b,GPU,4,98,128,0.5380277669996758
llama3.2:3b,CPU,4,98,128,2.3337519169999723
llama3.2:3b,GPU,5,98,128,0.5810894969999936
llama3.2:3b,CPU,5,98,128,2.4890440460003447
llama3.1:8b,GPU,1,10,128,0.4167279799999051
llama3.1:8b,CPU,1,10,128,1.9337619839998297
llama3.1:8b,GPU,2,10,128,0.3620652929998869
llama3.1:8b,CPU,2,10,128,1.5991323069997634
llama3.1:8b,GPU,3,10,128,0.3155433579995588
llama3.1:8b,CPU,3,10,128,1.4620784140001888
llama3.1:8b,GPU,4,10,128,0.33317271199985043
llama3.1:8b,CPU,4,10,128,1.5840052680000554
llama3.1:8b,GPU,5,10,128,0.30476169999974445
llama3.1:8b,CPU,5,10,128,1.409091026999704
llama3.1:8b,GPU,1,12,128,0.3325632989999576
llama3.1:8b,CPU,1,12,128,1.4020248589999937
llama3.1:8b,GPU,2,12,128,0.28360477299975173
llama3.1:8b,CPU,2,12,128,1.3043685819998245
llama3.1:8b,GPU,3,12,128,0.22968653499992797
llama3.1:8b,CPU,3,12,128,0.8171633950000796
llama3.1:8b,GPU,4,12,128,0.2332988589996603
llama3.1:8b,CPU,4,12,128,1.1487849229997664
llama3.1:8b,GPU,5,12,128,0.28706299600025886
llama3.1:8b,CPU,5,12,128,1.318685729000208
llama3.1:8b,GPU,1,14,128,0.15253189600025507
llama3.1:8b,CPU,1,14,128,1.812818290999985
llama3.1:8b,GPU,2,14,128,0.14100548899978094
llama3.1:8b,CPU,2,14,128,3.1031841999997596
llama3.1:8b,GPU,3,14,128,0.16094909100002042
llama3.1:8b,CPU,3,14,128,2.5320590159999483
llama3.1:8b,GPU,4,14,128,0.13088099399965358
llama3.1:8b,CPU,4,14,128,1.8811499779999394
llama3.1:8b,GPU,5,14,128,0.13142528399976072
llama3.1:8b,CPU,5,14,128,1.8818926829999327
llama3.1:8b,GPU,1,16,128,0.18280999899980088
llama3.1:8b,CPU,1,16,128,2.7986593089999587
llama3.1:8b,GPU,2,16,128,0.7494650569997248
llama3.1:8b,CPU,2,16,128,0.578547786999934
llama3.1:8b,GPU,3,16,128,0.5023346689999926
llama3.1:8b,CPU,3,16,128,2.646224607000022
llama3.1:8b,GPU,4,16,128,0.22216670800025895
llama3.1:8b,CPU,4,16,128,0.49689339499991547
llama3.1:8b,GPU,5,16,128,0.7179521180000847
llama3.1:8b,CPU,5,16,128,0.49480625600017447
llama3.1:8b,GPU,1,18,128,1.0842962259998785
llama3.1:8b,CPU,1,18,128,7.037572160999844
llama3.1:8b,GPU,2,18,128,0.2072213329997794
llama3.1:8b,CPU,2,18,128,4.352818171999843
llama3.1:8b,GPU,3,18,128,1.1289145299997472
llama3.1:8b,CPU,3,18,128,6.615295122999669
llama3.1:8b,GPU,4,18,128,0.20799609799996688
llama3.1:8b,CPU,4,18,128,7.953657506999662
llama3.1:8b,GPU,5,18,128,0.2800600270002178
llama3.1:8b,CPU,5,18,128,7.031818485000258
llama3.1:8b,GPU,1,20,128,1.0216270310002074
